DMA,DMA_code,Assignments,Assignment_Rank,Mushroom_Coffee,Luwak_Coffee,Kopi_Luwak,Functional_Food,Beta_Glucan,Health_Supplement,dma_rank, dma_tv_home ,dem_rank,zipcode, return_cnt , elderly_cnt , single_cnt , married_joint_cnt , head_household_cnt ,elerly_perc,single_perc,married_joint_perc,head_household_perc,return_perc, wage_per_capita , total_agi_per_capita , total_tax_per_capita , single_cnt_100K , married_joint_100K , head_household_100K , elderly_cnt_100K , return_cnt_100K ,elerly_perc_100K,100K_given_elerly_perc,100K_given_single_perc,100K_given_married_joint_perc,100K_given_head_household_perc,return_perc_100K, wage_per_capita_100K , total_agi_per_capita_100K , total_tax_per_capita_100K 
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20676," 1,750 ", 520 , 840 , 720 , 140 ,29.7%,48.0%,41.1%,8.0%,100.0%," 75,593 "," 103,935 "," 104,776 ", 90 , 520 , 20 , 230 , 640 ,35.9%,44.2%,10.7%,72.2%,14.3%,36.6%," 151,425 "," 212,838 "," 214,711 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85118," 6,430 "," 3,940 "," 2,620 "," 3,440 ", 250 ,61.3%,40.7%,53.5%,3.9%,100.0%," 52,015 "," 123,863 "," 125,224 ", 280 ," 1,550 ", 20 ," 1,230 "," 1,860 ",66.1%,31.2%,10.7%,45.1%,8.0%,28.9%," 112,685 "," 272,786 "," 275,691 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85623," 2,770 "," 1,750 "," 1,030 "," 1,520 ", 200 ,63.2%,37.2%,54.9%,7.2%,100.0%," 40,554 "," 113,598 "," 114,880 ", 110 , 710 , -   , 670 , 830 ,80.7%,38.3%,10.7%,46.7%,0.0%,30.0%," 81,334 "," 240,608 "," 243,322 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20853," 15,900 "," 4,340 "," 7,690 "," 6,230 "," 1,430 ",27.3%,48.4%,39.2%,9.0%,100.0%," 81,670 "," 121,261 "," 122,978 ", 820 ," 3,760 ", 200 ," 1,860 "," 4,900 ",38.0%,42.9%,10.7%,60.4%,14.0%,30.8%," 174,501 "," 265,904 "," 269,717 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22044," 6,810 "," 1,500 "," 3,860 "," 2,060 ", 650 ,22.0%,56.7%,30.2%,9.5%,100.0%," 83,124 "," 124,477 "," 126,345 ", 410 ," 1,120 ", 60 , 590 ," 1,660 ",35.5%,39.3%,10.6%,54.4%,9.2%,24.4%," 173,081 "," 275,351 "," 279,846 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75208," 15,300 "," 2,410 "," 8,850 "," 4,190 "," 2,030 ",15.8%,57.8%,27.4%,13.3%,100.0%," 94,228 "," 137,431 "," 139,056 ", 940 ," 1,820 ", 100 , 590 ," 2,910 ",20.3%,24.5%,10.6%,43.4%,4.9%,19.0%," 200,208 "," 314,037 "," 317,852 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20904," 30,430 "," 8,410 "," 16,100 "," 8,380 "," 4,840 ",27.6%,52.9%,27.5%,15.9%,100.0%," 69,625 "," 109,328 "," 110,356 "," 1,710 "," 4,380 ", 430 ," 3,180 "," 6,740 ",47.2%,37.8%,10.6%,52.3%,8.9%,22.1%," 136,668 "," 229,526 "," 231,511 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20601," 14,360 "," 2,890 "," 7,070 "," 3,740 "," 2,770 ",20.1%,49.2%,26.0%,19.3%,100.0%," 79,131 "," 101,114 "," 101,632 ", 750 ," 2,200 ", 370 , 940 ," 3,500 ",26.9%,32.5%,10.6%,58.8%,13.4%,24.4%," 157,320 "," 204,502 "," 205,298 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03458," 3,680 "," 1,500 "," 1,890 "," 1,430 ", 270 ,40.8%,51.4%,38.9%,7.3%,100.0%," 61,870 "," 129,313 "," 131,100 ", 200 , 790 , 30 , 550 ," 1,040 ",52.9%,36.7%,10.6%,55.2%,11.1%,28.3%," 123,232 "," 288,923 "," 292,368 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22554," 29,000 "," 4,660 "," 11,870 "," 12,030 "," 4,030 ",16.1%,40.9%,41.5%,13.9%,100.0%," 82,105 "," 103,187 "," 103,941 "," 1,250 "," 7,920 ", 720 ," 2,170 "," 10,110 ",21.5%,46.6%,10.5%,65.8%,17.9%,34.9%," 162,913 "," 210,721 "," 211,951 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02032," 2,530 ", 650 ," 1,240 "," 1,080 ", 160 ,25.7%,49.0%,42.7%,6.3%,100.0%," 93,135 "," 123,459 "," 124,758 ", 130 , 830 , 40 , 260 ," 1,010 ",25.7%,40.0%,10.5%,76.9%,25.0%,39.9%," 209,974 "," 271,488 "," 273,896 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02190," 10,660 "," 3,130 "," 6,210 "," 3,550 ", 660 ,29.4%,58.3%,33.3%,6.2%,100.0%," 80,953 "," 108,527 "," 109,493 ", 650 ," 2,310 ", 130 , 920 ," 3,130 ",29.4%,29.4%,10.5%,65.1%,19.7%,29.4%," 172,586 "," 226,342 "," 228,191 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03063," 9,130 "," 2,490 "," 5,160 "," 3,040 ", 700 ,27.3%,56.5%,33.3%,7.7%,100.0%," 85,724 "," 121,044 "," 122,424 ", 540 ," 1,760 ", 100 , 720 ," 2,440 ",29.5%,28.9%,10.5%,57.9%,14.3%,26.7%," 181,491 "," 264,240 "," 267,144 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02093," 6,300 "," 1,750 "," 3,060 "," 2,750 ", 370 ,27.8%,48.6%,43.7%,5.9%,100.0%," 89,446 "," 126,446 "," 127,987 ", 320 ," 2,060 ", 100 , 720 ," 2,520 ",28.6%,41.1%,10.5%,74.9%,27.0%,40.0%," 200,235 "," 281,030 "," 284,371 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02646," 1,270 ", 710 , 670 , 500 , 70 ,55.9%,52.8%,39.4%,5.5%,100.0%," 78,375 "," 159,938 "," 162,589 ", 70 , 290 , -   , 260 , 370 ,70.3%,36.6%,10.4%,58.0%,0.0%,29.1%," 190,668 "," 381,102 "," 387,101 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03810," 1,070 ", 440 , 480 , 510 , 70 ,41.1%,44.9%,47.7%,6.5%,100.0%," 69,229 "," 133,354 "," 135,616 ", 50 , 260 , -   , 180 , 320 ,56.3%,40.9%,10.4%,51.0%,0.0%,29.9%," 146,722 "," 300,783 "," 305,671 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01929," 1,920 ", 640 , 960 , 780 , 110 ,33.3%,50.0%,40.6%,5.7%,100.0%," 84,987 "," 151,230 "," 154,190 ", 100 , 530 , 30 , 230 , 690 ,33.3%,35.9%,10.4%,67.9%,27.3%,35.9%," 191,194 "," 355,077 "," 361,023 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22309," 17,240 "," 3,870 "," 8,930 "," 5,310 "," 2,420 ",22.4%,51.8%,30.8%,14.0%,100.0%," 82,351 "," 124,128 "," 125,439 ", 930 ," 3,000 ", 210 ," 1,510 "," 4,240 ",35.6%,39.0%,10.4%,56.5%,8.7%,24.6%," 168,413 "," 274,136 "," 277,009 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01863," 4,980 "," 1,510 "," 2,690 "," 1,780 ", 450 ,30.3%,54.0%,35.7%,9.0%,100.0%," 84,803 "," 116,822 "," 117,638 ", 280 ," 1,170 ", 70 , 440 ," 1,530 ",28.8%,29.1%,10.4%,65.7%,15.6%,30.7%," 183,568 "," 251,909 "," 253,369 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46202," 9,690 "," 1,130 "," 7,040 "," 1,550 ", 850 ,11.7%,72.7%,16.0%,8.8%,100.0%," 103,202 "," 142,868 "," 144,553 ", 730 ," 1,040 ", 60 , 300 ," 1,880 ",16.0%,26.5%,10.4%,67.1%,7.1%,19.4%," 221,889 "," 330,789 "," 334,815 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,21701," 21,040 "," 5,460 "," 11,680 "," 6,670 "," 2,040 ",26.0%,55.5%,31.7%,9.7%,100.0%," 81,055 "," 114,748 "," 116,112 "," 1,210 "," 4,130 ", 260 ," 1,790 "," 5,710 ",31.3%,32.8%,10.4%,61.9%,12.7%,27.1%," 168,344 "," 245,418 "," 248,284 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20677," 1,300 ", 390 , 580 , 560 , 120 ,30.0%,44.6%,43.1%,9.2%,100.0%," 83,838 "," 131,230 "," 132,325 ", 60 , 440 , 20 , 190 , 530 ,35.8%,48.7%,10.3%,78.6%,16.7%,40.8%," 187,476 "," 295,986 "," 298,268 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03811," 4,130 "," 1,600 "," 2,030 "," 1,820 ", 180 ,38.7%,49.2%,44.1%,4.4%,100.0%," 77,432 "," 122,613 "," 124,320 ", 210 ," 1,240 ", 50 , 610 ," 1,530 ",39.9%,38.1%,10.3%,68.1%,27.8%,37.0%," 170,338 "," 269,313 "," 272,983 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20866," 8,100 "," 1,770 "," 4,070 "," 2,320 "," 1,330 ",21.9%,50.2%,28.6%,16.4%,100.0%," 81,476 "," 107,760 "," 108,777 ", 420 ," 1,250 ", 230 , 630 ," 1,980 ",31.8%,35.6%,10.3%,53.9%,17.3%,24.4%," 162,878 "," 224,716 "," 226,562 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03032," 3,040 ", 840 ," 1,260 "," 1,540 ", 170 ,27.6%,41.4%,50.7%,5.6%,100.0%," 84,822 "," 126,225 "," 127,864 ", 130 ," 1,030 ", 40 , 310 ," 1,210 ",25.6%,36.9%,10.3%,66.9%,23.5%,39.8%," 184,068 "," 280,222 "," 283,652 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01545," 18,910 "," 5,020 "," 8,830 "," 8,500 "," 1,140 ",26.5%,46.7%,44.9%,6.0%,100.0%," 89,293 "," 132,600 "," 134,003 ", 910 ," 6,060 ", 300 ," 1,950 "," 7,390 ",26.4%,38.8%,10.3%,71.3%,26.3%,39.1%," 197,496 "," 299,225 "," 302,183 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85020," 17,110 "," 4,780 "," 10,310 "," 4,400 "," 2,130 ",27.9%,60.3%,25.7%,12.4%,100.0%," 78,299 "," 130,491 "," 132,308 "," 1,060 "," 2,260 ", 170 ," 1,320 "," 3,530 ",37.4%,27.6%,10.3%,51.4%,8.0%,20.6%," 161,378 "," 293,124 "," 297,409 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85083," 8,980 "," 1,960 "," 3,600 "," 4,520 ", 730 ,21.8%,40.1%,50.3%,8.1%,100.0%," 84,424 "," 118,028 "," 119,348 ", 370 ," 3,200 ", 170 , 800 ," 3,760 ",21.3%,40.8%,10.3%,70.8%,23.3%,41.9%," 179,802 "," 255,391 "," 257,916 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85286," 22,590 "," 3,490 "," 10,120 "," 9,610 "," 2,450 ",15.4%,44.8%,42.5%,10.8%,100.0%," 94,013 "," 121,929 "," 123,051 "," 1,040 "," 6,600 ", 470 ," 1,210 "," 8,200 ",14.8%,34.7%,10.3%,68.7%,19.2%,36.3%," 200,199 "," 266,770 "," 268,885 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02554," 6,990 "," 1,390 "," 4,090 "," 1,930 ", 680 ,19.9%,58.5%,27.6%,9.7%,100.0%," 67,097 "," 169,335 "," 173,271 ", 420 ," 1,170 ", 70 , 570 ," 1,710 ",33.3%,41.0%,10.3%,60.6%,10.3%,24.5%," 134,139 "," 410,072 "," 419,701 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20121," 14,530 "," 2,350 "," 7,600 "," 5,110 "," 1,450 ",16.2%,52.3%,35.2%,10.0%,100.0%," 86,043 "," 109,197 "," 110,315 ", 780 ," 2,620 ", 210 , 680 ," 3,670 ",18.5%,28.9%,10.3%,51.3%,14.5%,25.3%," 174,672 "," 228,893 "," 231,010 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01746," 7,300 "," 2,190 "," 3,120 "," 3,610 ", 400 ,30.0%,42.7%,49.5%,5.5%,100.0%," 87,810 "," 122,115 "," 123,829 ", 320 ," 2,780 ", 120 , 950 ," 3,280 ",29.0%,43.4%,10.3%,77.0%,30.0%,44.9%," 200,440 "," 267,889 "," 271,153 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85085," 13,880 "," 2,540 "," 6,440 "," 5,860 "," 1,260 ",18.3%,46.4%,42.2%,9.1%,100.0%," 86,806 "," 114,370 "," 115,569 ", 660 ," 3,930 ", 240 , 970 ," 4,920 ",19.7%,38.2%,10.2%,67.1%,19.0%,35.4%," 181,542 "," 244,131 "," 246,410 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02184," 20,300 "," 5,600 "," 10,750 "," 7,490 "," 1,590 ",27.6%,53.0%,36.9%,7.8%,100.0%," 84,343 "," 120,231 "," 121,367 "," 1,100 "," 4,800 ", 270 ," 1,770 "," 6,270 ",28.2%,31.6%,10.2%,64.1%,17.0%,30.9%," 184,358 "," 261,663 "," 263,924 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20650," 6,990 "," 1,800 "," 3,030 "," 3,170 ", 600 ,25.8%,43.3%,45.4%,8.6%,100.0%," 79,303 "," 114,490 "," 115,584 ", 310 ," 2,390 ", 120 , 790 ," 2,880 ",27.4%,43.9%,10.2%,75.4%,20.0%,41.2%," 166,275 "," 245,002 "," 247,427 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20634," 3,530 ", 650 ," 1,760 "," 1,190 ", 470 ,18.4%,49.9%,33.7%,13.3%,100.0%," 79,431 "," 98,827 "," 99,298 ", 180 , 790 , 40 , 230 ," 1,030 ",22.3%,35.4%,10.2%,66.4%,8.5%,29.2%," 155,260 "," 197,412 "," 198,204 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02131," 16,730 "," 3,540 "," 9,780 "," 4,200 "," 2,290 ",21.2%,58.5%,25.1%,13.7%,100.0%," 86,502 "," 109,910 "," 111,061 "," 1,000 "," 2,510 ", 180 , 840 ," 3,770 ",22.3%,23.7%,10.2%,59.8%,7.9%,22.5%," 181,800 "," 230,877 "," 233,188 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02050," 12,970 "," 4,110 "," 6,560 "," 5,280 ", 840 ,31.7%,50.6%,40.7%,6.5%,100.0%," 82,321 "," 120,314 "," 121,903 ", 670 ," 3,830 ", 190 ," 1,600 "," 4,750 ",33.7%,38.9%,10.2%,72.5%,22.6%,36.6%," 182,185 "," 262,448 "," 265,814 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01876," 16,930 "," 5,060 "," 8,930 "," 6,550 "," 1,120 ",29.9%,52.7%,38.7%,6.6%,100.0%," 81,127 "," 113,263 "," 114,180 ", 910 ," 4,380 ", 200 ," 1,550 "," 5,550 ",27.9%,30.6%,10.2%,66.9%,17.9%,32.8%," 174,713 "," 241,088 "," 242,732 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02125," 18,120 "," 2,340 "," 12,090 "," 2,530 "," 3,110 ",12.9%,66.7%,14.0%,17.2%,100.0%," 91,224 "," 113,532 "," 114,442 "," 1,230 "," 1,010 ", 120 , 290 ," 2,420 ",12.0%,12.4%,10.2%,39.9%,3.9%,13.4%," 189,833 "," 241,966 "," 243,803 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20736," 4,490 "," 1,330 "," 1,870 "," 2,170 ", 350 ,29.6%,41.6%,48.3%,7.8%,100.0%," 77,805 "," 111,149 "," 112,025 ", 190 ," 1,640 ", 80 , 650 ," 1,930 ",33.7%,48.9%,10.2%,75.6%,22.9%,43.0%," 163,884 "," 234,757 "," 236,385 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46077," 15,660 "," 3,760 "," 6,010 "," 8,490 ", 890 ,24.0%,38.4%,54.2%,5.7%,100.0%," 94,713 "," 148,753 "," 150,820 ", 610 ," 6,850 ", 310 ," 1,900 "," 7,830 ",24.3%,50.5%,10.1%,80.7%,34.8%,50.0%," 213,936 "," 348,499 "," 352,990 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75054," 7,440 "," 1,060 "," 2,960 "," 3,200 "," 1,030 ",14.2%,39.8%,43.0%,13.8%,100.0%," 87,592 "," 106,987 "," 107,887 ", 300 ," 2,260 ", 220 , 360 ," 2,840 ",12.7%,34.0%,10.1%,70.6%,21.4%,38.2%," 180,671 "," 222,581 "," 223,948 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20874," 32,170 "," 5,950 "," 16,480 "," 9,730 "," 4,800 ",18.5%,51.2%,30.2%,14.9%,100.0%," 90,685 "," 114,838 "," 116,058 "," 1,670 "," 5,100 ", 500 ," 1,940 "," 7,470 ",26.0%,32.6%,10.1%,52.4%,10.4%,23.2%," 188,288 "," 246,082 "," 248,552 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,25443," 3,640 "," 1,340 "," 1,780 "," 1,520 ", 270 ,36.8%,48.9%,41.8%,7.4%,100.0%," 66,619 "," 114,734 "," 116,326 ", 180 , 960 , 30 , 490 ," 1,190 ",41.2%,36.6%,10.1%,63.2%,11.1%,32.7%," 139,466 "," 245,323 "," 248,908 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22656," 2,710 ", 560 ," 1,090 "," 1,260 ", 280 ,20.7%,40.2%,46.5%,10.3%,100.0%," 81,978 "," 104,938 "," 105,884 ", 110 , 740 , 40 , 160 , 910 ,17.6%,28.6%,10.1%,58.7%,14.3%,33.6%," 166,977 "," 216,640 "," 218,516 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75028," 22,250 "," 5,080 "," 8,930 "," 11,290 "," 1,650 ",22.8%,40.1%,50.7%,7.4%,100.0%," 90,420 "," 118,333 "," 119,446 ", 900 ," 8,320 ", 440 ," 2,230 "," 9,740 ",22.9%,43.9%,10.1%,73.7%,26.7%,43.8%," 196,742 "," 256,377 "," 258,454 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01862," 5,870 "," 1,430 "," 3,080 "," 2,190 ", 470 ,24.4%,52.5%,37.3%,8.0%,100.0%," 85,997 "," 110,705 "," 111,629 ", 310 ," 1,430 ", 80 , 460 ," 1,860 ",24.7%,32.2%,10.1%,65.3%,17.0%,31.7%," 181,434 "," 232,596 "," 234,361 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20685," 3,370 ", 920 ," 1,590 "," 1,330 ", 350 ,27.3%,47.2%,39.5%,10.4%,100.0%," 74,784 "," 106,848 "," 107,764 ", 160 , 870 , 60 , 340 ," 1,110 ",30.6%,37.0%,10.1%,65.4%,17.1%,32.9%," 152,595 "," 222,248 "," 224,012 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85298," 17,190 "," 4,360 "," 6,170 "," 9,460 "," 1,260 ",25.4%,35.9%,55.0%,7.3%,100.0%," 81,378 "," 120,019 "," 121,360 ", 620 ," 6,600 ", 350 ," 1,630 "," 7,640 ",21.3%,37.4%,10.0%,69.8%,27.8%,44.4%," 178,840 "," 261,000 "," 263,538 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75075," 18,050 "," 5,290 "," 8,960 "," 7,040 "," 1,720 ",29.3%,49.6%,39.0%,9.5%,100.0%," 77,947 "," 126,996 "," 128,096 ", 900 ," 4,020 ", 210 ," 1,670 "," 5,190 ",32.2%,31.6%,10.0%,57.1%,12.2%,28.8%," 163,849 "," 282,501 "," 284,507 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85375," 14,600 "," 12,870 "," 6,780 "," 7,450 ", 210 ,88.2%,46.4%,51.0%,1.4%,100.0%," 23,038 "," 113,270 "," 114,215 ", 680 ," 2,580 ", 30 ," 2,970 "," 3,310 ",89.7%,23.1%,10.0%,34.6%,14.3%,22.7%," 51,535 "," 240,904 "," 242,876 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46075," 4,050 ", 720 ," 1,700 "," 1,850 ", 360 ,17.8%,42.0%,45.7%,8.9%,100.0%," 96,428 "," 116,723 "," 117,709 ", 170 ," 1,060 ", 50 , 200 ," 1,300 ",15.4%,27.8%,10.0%,57.3%,13.9%,32.1%," 204,922 "," 251,141 "," 252,921 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76126," 13,060 "," 3,870 "," 5,600 "," 6,090 "," 1,090 ",29.6%,42.9%,46.6%,8.3%,100.0%," 85,491 "," 136,346 "," 137,768 ", 560 ," 3,670 ", 130 ," 1,400 "," 4,410 ",31.7%,36.2%,10.0%,60.3%,11.9%,33.8%," 185,492 "," 310,462 "," 313,553 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22740, 630 , 290 , 300 , 260 , 50 ,46.0%,47.6%,41.3%,7.9%,100.0%," 54,651 "," 127,965 "," 130,491 ", 30 , 130 , -   , 100 , 170 ,58.8%,34.5%,10.0%,50.0%,0.0%,27.0%," 99,563 "," 283,003 "," 289,205 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22448, 570 , 170 , 300 , 220 , 30 ,29.8%,52.6%,38.6%,5.3%,100.0%," 65,984 "," 102,454 "," 102,791 ", 30 , 120 , -   , 70 , 170 ,41.2%,41.2%,10.0%,54.5%,0.0%,29.8%," 121,124 "," 206,542 "," 207,242 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02675," 3,910 "," 2,170 "," 2,000 "," 1,630 ", 180 ,55.5%,51.2%,41.7%,4.6%,100.0%," 58,011 "," 122,014 "," 123,667 ", 200 , 910 , 20 , 730 ," 1,150 ",63.5%,33.6%,10.0%,55.8%,11.1%,29.4%," 126,717 "," 267,754 "," 271,242 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01915," 20,980 "," 6,120 "," 11,500 "," 7,340 "," 1,610 ",29.2%,54.8%,35.0%,7.7%,100.0%," 83,590 "," 142,985 "," 144,578 "," 1,150 "," 4,900 ", 230 ," 2,040 "," 6,400 ",31.9%,33.3%,10.0%,66.8%,14.3%,30.5%," 180,037 "," 330,114 "," 333,598 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02062," 16,500 "," 4,670 "," 9,000 "," 5,570 "," 1,500 ",28.3%,54.5%,33.8%,9.1%,100.0%," 84,900 "," 131,821 "," 132,853 ", 900 ," 3,490 ", 200 ," 1,360 "," 4,670 ",29.1%,29.1%,10.0%,62.7%,13.3%,28.3%," 182,873 "," 296,528 "," 298,549 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01612," 2,410 ", 760 ," 1,100 "," 1,120 ", 160 ,31.5%,45.6%,46.5%,6.6%,100.0%," 72,361 "," 110,288 "," 111,839 ", 110 , 730 , 40 , 280 , 890 ,31.5%,36.8%,10.0%,65.2%,25.0%,36.9%," 152,434 "," 231,994 "," 235,101 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75071," 30,450 "," 5,510 "," 11,750 "," 14,960 "," 3,120 ",18.1%,38.6%,49.1%,10.2%,100.0%," 88,840 "," 117,021 "," 118,020 "," 1,170 "," 9,980 ", 470 ," 2,020 "," 11,740 ",17.2%,36.7%,10.0%,66.7%,15.1%,38.6%," 188,185 "," 252,462 "," 254,248 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02539," 3,240 "," 1,030 "," 1,810 "," 1,110 ", 230 ,31.8%,55.9%,34.3%,7.1%,100.0%," 72,049 "," 179,495 "," 182,785 ", 180 , 590 , 30 , 410 , 800 ,51.3%,39.8%,9.9%,53.2%,13.0%,24.7%," 153,927 "," 440,039 "," 447,180 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76248," 18,040 "," 4,850 "," 6,940 "," 9,680 "," 1,200 ",26.9%,38.5%,53.7%,6.7%,100.0%," 86,332 "," 124,279 "," 125,527 ", 690 ," 7,390 ", 300 ," 2,350 "," 8,450 ",27.8%,48.5%,9.9%,76.3%,25.0%,46.8%," 191,918 "," 274,746 "," 277,088 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03033," 2,730 ", 610 ," 1,110 "," 1,390 ", 170 ,22.3%,40.7%,50.9%,6.2%,100.0%," 87,691 "," 109,388 "," 110,679 ", 110 ," 1,020 ", 50 , 260 ," 1,190 ",21.8%,42.6%,9.9%,73.4%,29.4%,43.6%," 188,000 "," 230,259 "," 232,738 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,34957," 11,980 "," 5,480 "," 6,160 "," 4,660 ", 900 ,45.7%,51.4%,38.9%,7.5%,100.0%," 62,062 "," 196,454 "," 198,442 ", 610 ," 2,250 ", 80 ," 1,650 "," 2,990 ",55.2%,30.1%,9.9%,48.3%,8.9%,25.0%," 132,572 "," 490,599 "," 495,125 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02360," 32,390 "," 11,100 "," 16,510 "," 12,680 "," 2,390 ",34.3%,51.0%,39.1%,7.4%,100.0%," 75,310 "," 121,737 "," 123,226 "," 1,630 "," 8,050 ", 340 ," 4,170 "," 10,160 ",41.0%,37.6%,9.9%,63.5%,14.2%,31.4%," 161,875 "," 266,237 "," 269,515 "
